,country_code,latitude,longitude
0,tha,13.75,100.5167
1,usa,37.0902,-95.7129
2,gbr,51.509865,-0.118092
3,deu,51.1657,10.4515
4,jpn,36.2048,138.2529
5,nor,60.472,8.4689
6,bel,50.5039,4.4699
7,swe,60.1282,18.6435
8,aus,-25.2744,133.7751
9,idn,-0.7893,113.9213
10,chn,35.8617,104.1954
11,chl,-35.6751,-71.543
12,ind,20.5937,78.9629
13,pak,30.3753,69.3451
14,mex,23.6345,-102.5528
15,nld,52.1326,5.2913
16,twn,23.6978,120.9605
17,btn,27.5142,90.4336
18,mmr,21.9162,95.956
19,bra,-14.235,-51.9253
20,bgr,42.7339,25.4858
21,ita,41.8719,12.5674
22,can,56.1304,-106.3468
23,arm,40.0691,45.0382
24,aut,47.5162,14.5501
25,blr,53.7098,27.9534
26,col,4.5709,-74.2973
27,hrv,45.1,15.2
28,cyp,35.1264,33.4299
29,cze,49.8175,15.473
30,ecu,-1.8312,-78.1834
31,egy,26.8206,30.8025
32,est,58.5953,25.0136
33,fin,61.9241,25.7482
34,geo,42.3154,43.3569
35,grc,39.0742,21.8243
36,hun,47.1625,19.5033
37,irn,32.4279,53.688
38,irl,53.1424,-7.6921
39,kor,35.9078,127.7669
40,ltu,55.1694,23.8813
41,mys,4.2105,101.9758
42,nzl,-40.9006,174.886
43,pol,51.9194,19.1451
44,prt,39.3999,-8.2245
45,rus,61.524,105.3188
46,srb,44.0165,21.0059
47,esp,40.4637,-3.7492
48,che,46.8182,8.2275
49,tur,38.9637,35.2433
50,ukr,48.3794,31.1656
51,lva,56.8796,24.6032
52,isl,64.9631,-19.0208
53,hkg,22.3193,114.1694
54,phl,12.8797,121.774
55,sgp,1.3521,103.8198
56,vnm,14.0583,108.2772
57,isr,31.0461,34.8516
58,pan,8.537,-80.7821
59,are,23.4241,53.8478
60,irq,33.2232,43.6793
61,khm,12.5657,104.991
62,bgd,23.685,90.3563
63,nga,9.082,8.6753
64,dnk,56.2639,9.5018
65,sau,23.8859,45.0792
66,bhr,25.9304,50.6378
67,moz,-18.6657,35.5296
68,arg,-38.4161,-63.6167
69,bol,-16.2902,-63.5887
70,lao,19.8563,102.4955
71,cub,21.5218,-77.7812
72,lka,7.8731,80.7718
73,svk,48.669,19.699
74,eth,9.145,40.4897
75,rou,45.9432,24.9668
76,zaf,-30.5595,22.9375
77,npl,28.3949,84.124
78,tun,33.8869,9.5375
79,qat,25.3548,51.1839
80,brn,4.5353,114.7277
81,ken,-0.0236,37.9062
82,sdn,12.8628,30.2176
83,som,5.1521,46.1996
84,pri,18.2208,-66.5901
85,uga,1.3733,32.2903
86,mwi,-13.2543,34.3015
87,lux,49.8153,6.1296
88,svn,46.1512,14.9955
89,sle,8.4606,-11.7799
90,per,-9.19,-75.0152
91,mar,31.7917,-7.0926
92,pry,-23.4425,-58.4438
93,cri,9.7489,-83.7534
94,gha,7.9465,-1.0232
95,mdv,3.2028,73.2207
96,ssd,6.8769,31.306
97,png,-6.3146,143.9555
98,zwe,-19.0154,29.1549
99,zmb,-13.1339,27.8493
100,ven,6.4238,-66.5897
101,cod,-4.0383,21.7587
102,civ,7.54,-5.5471
103,mkd,41.6086,21.7453
104,tza,-6.369,34.8888
105,kwt,29.3759,47.9774
106,dom,18.7357,-70.1627
107,mac,22.1987,113.5439
108,dza,28.0339,1.6596
109,mne,42.7087,19.3744
110,lbn,33.8547,35.8623
111,pse,31.9522,35.2332
112,rwa,-1.9403,29.8739
113,cmr,7.3697,12.3547
114,sen,14.4974,-14.4524
115,hnd,15.2,-86.2419
116,mng,46.8625,103.8467
117,kaz,48.0196,66.9237
118,omn,21.4735,55.9754
119,mco,43.7384,7.4246
120,bwa,-22.3285,24.6849
121,syr,34.8021,38.9968
122,tto,10.6918,-61.2225
123,gtm,15.7835,-90.2308
124,ury,-32.5228,-55.7658
125,eri,15.1794,39.7823
126,guf,3.9339,-53.1258
127,mrt,21.0079,-10.9408
128,bih,43.9159,17.6791
129,ner,17.6078,8.0817
130,aze,40.1431,47.5769
131,ben,9.3077,2.3158
132,hti,18.9712,-72.2852
133,yem,15.5527,48.5164
134,alb,41.1533,20.1683
135,lby,26.3351,17.2283
136,bfa,12.2383,-1.5616
137,nic,12.8654,-85.2072
138,jam,18.1096,-77.2975
139,slv,13.7942,-88.8965
140,afg,33.9391,67.71
141,tgo,8.6195,0.8248
142,caf,6.6111,20.9394
143,kgz,41.2044,74.7661
144,jor,30.5852,36.2384
145,gab,-0.8037,11.6094
146,ago,-11.2027,17.8739
147,bdi,-3.3731,29.9189
148,swz,-26.5225,31.4659
149,mdg,-18.7669,46.8691
150,tls,-8.8742,125.7275
151,mli,17.5707,-3.9962
152,tcd,15.4542,18.7322
153,uzb,41.3775,64.5853
154,mus,-20.3484,57.5522
155,gmb,13.4432,-15.3101
156,fji,-17.7134,178.065
157,reu,-21.1151,55.5364
158,nam,-22.9576,18.4904
159,mda,47.4116,28.3699
160,guy,4.8604,-58.9302
161,brb,13.1939,-59.5432
162,fsm,7.4256,150.5508
163,cpv,16.5388,-23.0418
164,lbr,6.4281,-9.4295
165,mlt,35.9375,14.3754
166,iot,6.3432,71.8765
167,ata,-82.8628,135.0
168,asm,-14.270972,-170.132217
169,cck,-12.167,96.8333
170,aia,18.2206,-63.0686
